country,emission,sink ton/yr
Argentina,1.98E+08,1.79E+08
Australia,3.89E+08,2.87E+08
Bahrain,3.33E+07,7.25E+04
Bolivia,8.97E+07,1.73E+08
Brazil,8.19E+08,1.81E+09
Canada,6.15E+08,1.36E+09
Chile,3.35E+07,2.75E+08
China,1.01E+10,7.49E+08
Colombia,1.64E+08,2.42E+08
Congo,6.05E+08,8.23E+08
Cuba,2.29E+07,2.42E+07
Finland,4.77E+07,7.68E+07
France ,2.39E+08,1.32E+08
Gabon,1.17E+07,8.15E+07
Germany,6.28E+08,1.00E+08
Ghana ,3.44E+07,4.94E+07
India,2.42E+09,1.15E+08
Indonesia ,1.48E+09,6.44E+08
Iran,6.30E+08,3.61E+06
Japan,1.05E+09,1.71E+08
Kazakhstan,2.09E+08,2.67E+07
Madagascar,1.42E+07,7.06E+07
Malaysia,3.34E+08,1.14E+08
Mexico,4.64E+08,2.11E+08
New Caledonia,1.78E+06,4.40E+05
Norway ,1.70E+07,5.28E+07
Papua New Guinea,4.86E+07,1.02E+08
Peru,1.47E+08,1.73E+08
Philippines,1.48E+08,9.62E+07
Portugal,4.49E+07,1.42E+07
Russia,1.15E+09,4.00E+08
Saudi arabia,5.24E+08,1.60E+05
South Africa,4.46E+08,4.04E+07
South korea,5.65E+08,3.96E+07
Turkey,3.68E+08,2.50E+07
Ukraine,1.63E+08,9.15E+07
United Arab Emirates,1.89E+08,1.80E+06
United States,4.59E+09,1.53E+09
Zambia,3.95E+07,5.01E+07
Zimbabwe,9.89E+07,4.97E+06
