country,GDP usd
Argentina,4.87E+11
Australia,1.55E+12
Brazil,1.65E+12
Canada,2.00E+12
Chile,3.17E+11
China,1.82E+13
Colombia,3.19E+11
Congo,5.54E+10
Finland,2.96E+11
France,2.96E+12
Germany,4.26E+12
India,3.15E+12
Indonesia,1.19E+12
Iran,3.59E+11
Japan,5.01E+12
Kazakhstan,1.97E+11
Malaysia,3.73E+11
Mexico,1.27E+12
Norway,4.90E+11
Peru,2.24E+11
Philippines,3.94E+11
Portugal,2.54E+11
Russia,1.84E+12
Saudi arabia,8.69E+11
South Africa,4.19E+11
South korea,1.81E+12
Turkey,8.19E+11
Ukraine,2.00E+11
United Arab Emirates,4.15E+11
United States,2.33E+13
