,Argentina,Australia,Brazil,Canada,Chile,China,Russia,United States,Zambia,Zimbabwe
Argentina,0,12704.80595,2924.249906,11259.05237,766.2990799,18898.99396,17335.14056,9017.693642,9230.465866,8940.932709
Australia,12704.80595,0,15578.63514,14151.63951,12734.13791,7474.364746,9983.615629,15184.50427,10932.17162,10496.58284
Brazil,2924.249906,15578.63514,0,9304.54465,3084.197561,16632.87682,14451.53219,7316.928875,8571.872193,8579.935158
Canada,11259.05237,14151.63951,9304.54465,0,10725.77323,9385.871407,6644.488213,2261.538693,13848.4762,14485.05258
Chile,766.2990799,12734.13791,3084.197561,10725.77323,0,19630.09236,17132.37209,8466.860198,9985.791654,9705.12982
China,18898.99396,7474.364746,16632.87682,9385.871407,19630.09236,0,2854.619435,11647.27994,9668.53908,9963.540149
Russia,17335.14056,9983.615629,14451.53219,6644.488213,17132.37209,2854.619435,0,8886.09707,10639.30931,11151.58158
United States,9017.693642,15184.50427,7316.928875,2261.538693,8466.860198,11647.27994,8886.09707,0,13844.46432,14330.35749
Zambia,9230.465866,10932.17162,8571.872193,13848.4762,9985.791654,9668.53908,10639.30931,13844.46432,0,668.6931871
Zimbabwe,8940.932709,10496.58284,8579.935158,14485.05258,9705.12982,9963.540149,11151.58158,14330.35749,668.6931871,0
