Country,S,D,Dsoc,EcoOvershoot,SocShortfall
Argentina,236000000000,491000000000,15500000000,1.08,-30.7
Australia,344000000000,755000000000,29700000000,1.19,-24.4
Belgium,20500000000,111000000000,3570000000,4.43,-30.2
Brazil,2080000000000,2710000000000,65800000000,0.3,-40.2
Canada,1440000000000,1130000000000,11500000000,-0.217,-97.1
Chile,299000000000,154000000000,8610000000,-0.486,-16.9
China,2670000000000,12600000000000,581000000000,3.7,-20.6
Congo,132000000000,49500000000,7130000000,-0.625,-5.95
Cote dIvoire,855000000000,545000000000,17100000000,-0.363,-30.9
Cuba,119000000000,103000000000,3060000000,-0.133,-32.7
Gabon,84300000000,21600000000,783000000,-0.744,-26.6
Germany,212000000000,831000000000,39300000000,2.93,-20.1
Ghana,86000000000,78300000000,3350000000,-0.0893,-22.3
Hungary,25200000000,65000000000,2770000000,1.58,-22.5
India,1850000000000,3420000000000,670000000000,0.85,-4.11
Indonesia,988000000000,2030000000000,88500000000,1.05,-21.9
Japan,339000000000,1200000000000,60400000000,2.56,-18.9
Korea,104000000000,723000000000,33100000000,5.99,-20.9
Madagascar,104000000000,132000000000,23400000000,0.263,-4.63
Malaysia,155000000000,548000000000,7100000000,2.54,-76.2
Morocco,48600000000,94900000000,15700000000,0.954,-5.03
Mozambique,121000000000,97900000000,16600000000,-0.192,-4.9
Netherlands,26500000000,179000000000,9430000000,5.77,-18
North Korea,75000000000,45900000000,5440000000,-0.388,-7.44
Norway,60700000000,58000000000,2960000000,-0.0435,-18.6
Papua New Guinea,113000000000,80400000000,2150000000,-0.29,-36.4
Philippines,235000000000,270000000000,47000000000,0.15,-4.74
Poland,136000000000,411000000000,23100000000,2.02,-16.8
Portugal,28400000000,83300000000,5140000000,1.93,-15.2
Russia,2630000000000,3200000000000,70700000000,0.219,-44.3
South Africa,115000000000,569000000000,41600000000,3.97,-12.7
Sri Lanka,41500000000,56100000000,7530000000,0.351,-6.45
Ukraine,157000000000,295000000000,16400000000,0.885,-17
United States,1980000000000,6840000000000,128000000000,2.45,-52.3
Vietnam,237000000000,480000000000,40400000000,1.03,-10.9
Zimbabwe,23800000000,35500000000,14600000000,0.494,-1.44
