country,emission,sink ton/yr,Dsoc ton/yr
Argentina,4.91E+08,1.79E+08,1.55E+07
Australia,7.55E+08,3.12E+08,2.97E+07
Brazil,2.71E+09,1.81E+09,6.58E+07
Canada,1.13E+09,1.40E+09,1.15E+07
Chile,1.54E+08,2.75E+08,8.61E+06
China,1.26E+10,8.39E+08,5.81E+08
Colombia,1.64E+08,2.42E+08,1.83E+07
Congo,4.95E+07,2.42E+07,1.71E+07
Finland,4.77E+07,7.68E+07,2.40E+06
France,2.39E+08,1.32E+08,1.48E+07
Germany,8.31E+08,1.05E+08,3.93E+07
India,3.42E+09,1.18E+08,6.70E+08
Indonesia,2.03E+09,6.44E+08,8.85E+07
Iran,6.30E+08,3.61E+06,3.43E+07
Japan,1.20E+09,1.76E+08,6.04E+07
Kazakhstan,2.09E+08,2.67E+07,1.19E+07
Malaysia,5.48E+08,1.14E+08,7.10E+06
Mexico,4.64E+08,2.11E+08,6.03E+07
Mozambique,9.79E+07,2.70E+08,1.66E+07
Norway,5.80E+07,5.38E+07,2.96E+06
Peru,1.47E+08,1.73E+08,1.19E+07
Philippines,2.70E+08,9.74E+07,4.70E+07
Portugal,8.33E+07,1.52E+07,5.14E+06
Russia,3.20E+09,2.44E+09,7.07E+07
Saudi arabia,5.24E+08,1.60E+05,1.46E+07
South Africa,4.46E+08,4.04E+07,4.16E+07
South korea,7.23E+08,3.78E+07,3.31E+07
Turkey,3.68E+08,2.50E+07,2.74E+07
Ukraine,2.95E+08,9.97E+07,1.64E+07
United Arab Emirates,1.89E+08,1.80E+06,4.59E+06
United States,6.84E+09,1.56E+09,1.28E+08
