country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
Argentina,1,0.946938776,0.946938776,0.52244898,0.946938776,1.044897959,0.52244898,0.52244898,0.963265306,0.587755102,0.587755102,0.930612245,1.028571429,0.587755102,0.587755102,1.044897959
Australia,1,1.300627496,1.264118654,0.91272105,1.264118654,0.91272105,1.300627496,1.026811181,1.026811181,1.026811181,0.319452367,1.300627496,0.319452367,1.264118654,0.271534512,1.300627496
Brazil,1,1.543859649,0.210526316,0.701754386,0.070175439,0.140350877,0.98245614,0.701754386,0.140350877,0.98245614,0.140350877,1.052631579,0.98245614,0.210526316,0.140350877,0.210526316
Canada,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chile,1,1.25,0.519230769,1.25,1.25,0.923076923,0.653846154,0.653846154,0.923076923,0.653846154,0.519230769,0.519230769,0.653846154,1.038461538,0.519230769,1.25
China,1,0.677804296,0.219570406,1.031026253,1.336515513,1.031026253,1.269689737,0.190930788,0.649164678,0.677804296,0.677804296,1.269689737,0.677804296,0.219570406,0.219570406,1.336515513
Colombia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Congo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
France,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Germany,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
India,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Indonesia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iran,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Japan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kazakhstan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Malaysia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mexico,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Norway,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Peru,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Philippines,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Portugal,1,1,0.444444444,0.888888889,1.333333333,0.333333333,0.333333333,0.444444444,1,0.333333333,0.888888889,1,0.888888889,1.333333333,0.333333333,0.333333333
Russia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Saudi arabia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Africa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South korea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turkey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ukraine,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United Arab Emirates,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United States,1,0.705882353,0.705882353,0.784313725,0.62745098,0.31372549,0.941176471,0.62745098,0.705882353,0.784313725,0.31372549,0.941176471,0.31372549,0.705882353,0.31372549,0.705882353
