,Argentina,Australia,Canada,China,Congo,Finland,Japan,Mozambique,Russia,South Africa,South korea,United States
Argentina,0,13071.62435,11339.69607,19110.94645,9714.220236,13455.68246,17835.92798,9660.274748,16503.85068,8236.039056,18867.47237,9046.12002
Australia,13071.62435,0,13845.23532,7322.659763,11975.55758,13376.36167,6806.89867,10073.41847,10419.39381,10452.59276,6837.931052,14654.08623
Canada,11339.69607,13845.23532,0,8944.219335,12408.82914,5682.748135,7604.430485,14539.81223,5891.431955,15035.50161,8064.06938,2423.609651
China,19110.94645,7322.659763,8944.219335,0,9399.591636,6062.858354,3084.018775,9527.342785,3337.861212,10967.51398,2054.273363,11323.51819
Congo,9714.220236,11975.55758,12408.82914,9399.591636,0,7347.676649,12466.33246,2171.760494,9545.860331,2861.955049,11448.00746,13100.14709
Finland,13455.68246,13376.36167,5682.748135,6062.858354,7347.676649,0,7481.040284,9184.783053,3332.926584,10205.16914,6985.528442,7639.451447
Japan,17835.92798,6806.89867,7604.430485,3084.018775,12466.33246,7481.040284,0,12520.81124,4149.8833,13917.10404,1032.158578,9584.571561
Mozambique,9660.274748,10073.41847,14539.81223,9527.342785,2171.760494,9184.783053,12520.81124,0,10719.45555,1457.692525,11508.29727,15202.00159
Russia,16503.85068,10419.39381,5891.431955,3337.861212,9545.860331,3332.926584,4149.8833,10719.45555,0,12092.2901,3696.224232,8313.428774
South Africa,8236.039056,10452.59276,15035.50161,10967.51398,2861.955049,10205.16914,13917.10404,1457.692525,12092.2901,0,12920.4854,14936.0385
South korea,18867.47237,6837.931052,8064.06938,2054.273363,11448.00746,6985.528442,1032.158578,11508.29727,3696.224232,12920.4854,0,10219.34474
United States,9046.12002,14654.08623,2423.609651,11323.51819,13100.14709,7639.451447,9584.571561,15202.00159,8313.428774,14936.0385,10219.34474,0
