index,Li,Co,Mn,Ni,cathode,graphite,PP,PE,Cu,Al,cell,PET,electronics,noncell,battery
Argentina,6200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,7000,0,0,0,500,5239.896784,1309.974196,31111.88716,0,0,0,0,0,0
Brazil,0,0,0,0,0,66976.07433,0,0,0,0,0,0,0,0,0
Canada,500,3100,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,39000,0,0,0,0,0,0,0,0,0,0,0,0,451715.24,0
China,3970.29159,2200,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,0,33474.47074,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,1084,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,327493.549,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,9454,0,69382.78329,0,0,0,0,0,0,0,0,0,0,0
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,1900,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,0,5400,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi arabia,0,0,0,0,0,0,0,0,0,60258.81302,0,0,0,0,0
South Africa,0,0,67696.8465,0,0,0,0,0,0,0,0,0,0,0,0
South korea,0,0,0,0,129687.4454,0,0,0,0,0,0,2258.5762,1806.86096,0,451715.24
Turkey,0,2300,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
